Label,Notation,Parent Notation,Sort Priority
666,666,,
1735,1735,,
2400,2400,,
1248,1248,,
1152,1152,,
1207,1207,,
1193,1193,,
1138,1138,,
1262,1262,,
298,298,,
1369,1369,,
556,556,,
128,128,,
49,49,,
250,250,,
1325,1325,,
613,613,,
155,155,,
58,58,,
1975,1975,,
186,186,,
239,239,,
248,248,,
1196,1196,,
413,413,,
118,118,,
29,29,,
104,104,,
41,41,,
low-sample-count,low-sample-count,,
69,69,,
102,102,,
48,48,,
113,113,,
383,383,,
236,236,,
220,220,,
277,277,,
244,244,,
392,392,,
301,301,,
234,234,,
117,117,,
421,421,,
322,322,,
534,534,,
232,232,,
773,773,,
788,788,,
499,499,,
447,447,,
368,368,,
127,127,,
67,67,,
133,133,,
297,297,,
690,690,,
544,544,,
735,735,,
1905,1905,,
495,495,,
262,262,,
1229,1229,,
378,378,,
37,37,,
36,36,,
140,140,,
178,178,,
141,141,,
2025,2025,,
217,217,,
158,158,,
271,271,,
1273,1273,,
422,422,,
59,59,,
22,22,,
87,87,,
75,75,,
34,34,,
85,85,,
1870,1870,,
370,370,,
160,160,,
1225,1225,,
362,362,,
21,21,,
30,30,,
110,110,,
112,112,,
35,35,,
76,76,,
45,45,,
1850,1850,,
94,94,,
24,24,,
25,25,,
2243,2243,,
119,119,,
39,39,,
319,319,,
74,74,,
156,156,,
344,344,,
1098,1098,,
409,409,,
582,582,,
760,760,,
977,977,,
60,60,,
356,356,,
132,132,,
163,163,,
460,460,,
125,125,,
553,553,,
299,299,,
131,131,,
1058,1058,,
1048,1048,,
294,294,,
857,857,,
201,201,,
199,199,,
1192,1192,,
1010,1010,,
1979,1979,,
1232,1232,,
807,807,,
361,361,,
192,192,,
679,679,,
278,278,,
82,82,,
57,57,,
431,431,,
230,230,,
89,89,,
258,258,,
353,353,,
616,616,,
61,61,,
327,327,,
229,229,,
15,15,,
103,103,,
139,139,,
33,33,,
222,222,,
2039,2039,,
709,709,,
352,352,,
188,188,,
292,292,,
253,253,,
309,309,,
166,166,,
608,608,,
228,228,,
42,42,,
1045,1045,,
93,93,,
419,419,,
154,154,,
748,748,,
50,50,,
355,355,,
643,643,,
394,394,,
348,348,,
324,324,,
602,602,,
81,81,,
226,226,,
828,828,,
517,517,,
446,446,,
302,302,,
550,550,,
691,691,,
381,381,,
466,466,,
312,312,,
468,468,,
1932,1932,,
968,968,,
1432,1432,,
1801,1801,,
599,599,,
380,380,,
1659,1659,,
320,320,,
835,835,,
341,341,,
555,555,,
148,148,,
938,938,,
913,913,,
548,548,,
0,0,,
224,224,,
1084,1084,,
418,418,,
1852,1852,,
285,285,,
138,138,,
51,51,,
1197,1197,,
433,433,,
429,429,,
1422,1422,,
505,505,,
474,474,,
