Label,Notation,Parent Notation,Sort Priority
1455,1455,,
19556,19556,,
21011,21011,,
3435,3435,,
17576,17576,,
4138,4138,,
16873,16873,,
5168,5168,,
15843,15843,,
8193,8193,,
10118,10118,,
2025,2025,,
551,551,,
124,124,,
7833,7833,,
10281,10281,,
2187,2187,,
587,587,,
17129,17129,,
2135,2135,,
1747,1747,,
7027,7027,,
8423,8423,,
1390,1390,,
288,288,,
830,830,,
1006,1006,,
221,221,,
78,78,,
337,337,,
689,689,,
414,414,,
308,308,,
1068,1068,,
2769,2769,,
2091,2091,,
1793,1793,,
2151,2151,,
2344,2344,,
3033,3033,,
3509,3509,,
2253,2253,,
695,695,,
4770,4770,,
2242,2242,,
3945,3945,,
3539,3539,,
5820,5820,,
3922,3922,,
3104,3104,,
4013,4013,,
4278,4278,,
1772,1772,,
1805,1805,,
2118,2118,,
1981,1981,,
4511,4511,,
6080,6080,,
3317,3317,,
5122,5122,,
18416,18416,,
2595,2595,,
7338,7338,,
9413,9413,,
1492,1492,,
173,173,,
855,855,,
706,706,,
532,532,,
502,502,,
19680,19680,,
916,916,,
416,416,,
7727,7727,,
9742,9742,,
1802,1802,,
409,409,,
402,402,,
259,259,,
153,153,,
102,102,,
64,64,,
118,118,,
69,69,,
164,164,,
18229,18229,,
1460,1460,,
1322,1322,,
7320,7320,,
9384,9384,,
1433,1433,,
93,93,,
540,540,,
404,404,,
239,239,,
278,278,,
333,333,,
331,331,,
353,353,,
305,305,,
18186,18186,,
738,738,,
77,77,,
1101,1101,,
494,494,,
20596,20596,,
360,360,,
56,56,,
2550,2550,,
335,335,,
1203,1203,,
3972,3972,,
11132,11132,,
1819,1819,,
4617,4617,,
10209,10209,,
5100,5100,,
621,621,,
464,464,,
1394,1394,,
2593,2593,,
506,506,,
5349,5349,,
4329,4329,,
431,431,,
100,100,,
1450,1450,,
3197,3197,,
1087,1087,,
452,452,,
6185,6185,,
13068,13068,,
1758,1758,,
5347,5347,,
838,838,,
2657,2657,,
12186,12186,,
6167,6167,,
15561,15561,,
13656,13656,,
3746,3746,,
3609,3609,,
4360,4360,,
7149,7149,,
1608,1608,,
538,538,,
1495,1495,,
1790,1790,,
338,338,,
2338,2338,,
1179,1179,,
13,13,,
2225,2225,,
3183,3183,,
750,750,,
6158,6158,,
3966,3966,,
1397,1397,,
7498,7498,,
461,461,,
861,861,,
565,565,,
33,33,,
1458,1458,,
1477,1477,,
615,615,,
59,59,,
17402,17402,,
4330,4330,,
3801,3801,,
3859,3859,,
1249,1249,,
3556,3556,,
2437,2437,,
1778,1778,,
2500,2500,,
2756,2756,,
405,405,,
116,116,,
5777,5777,,
2968,2968,,
4162,4162,,
1062,1062,,
401,401,,
8592,8592,,
2875,2875,,
3326,3326,,
572,572,,
166,166,,
6940,6940,,
2324,2324,,
1178,1178,,
2387,2387,,
6749,6749,,
4133,4133,,
2469,2469,,
2704,2704,,
5154,5154,,
4058,4058,,
5247,5247,,
3345,3345,,
5993,5993,,
7879,7879,,
3181,3181,,
2737,2737,,
1221,1221,,
2181,2181,,
18830,18830,,
7312,7312,,
13699,13699,,
14082,14082,,
6929,6929,,
5450,5450,,
4947,4947,,
503,503,,
12455,12455,,
3106,3106,,
10512,10512,,
2034,2034,,
6336,6336,,
342,342,,
219,219,,
1568,1568,,
1389,1389,,
1435,1435,,
4125,4125,,
14063,14063,,
1721,1721,,
39,39,,
0,0,,
2823,2823,,
1852,1852,,
1870,1870,,
301,301,,
4620,4620,,
7186,7186,,
1684,1684,,
573,573,,
14322,14322,,
1918,1918,,
2463,2463,,
2308,2308,,
15969,15969,,
2243,2243,,
2799,2799,,
1455,1455,,
19556,19556,,
21011,21011,,
3435,3435,,
17576,17576,,
4138,4138,,
16873,16873,,
5168,5168,,
15843,15843,,
