Label,Notation,Parent Notation,Sort Priority
all,all,,
Couple with dependent children,couple-with-dependent-children,,
"Couple, no dependent children aged 60 or over",couple-no-dependent-children-aged-60-or-over,,
One person aged 60 or over,one-person-aged-60-or-over,,
One person under 60,one-person-under-60,,
Other multi-person households,other-multi-person-households,,
Household with dependent children,household-with-dependent-children,,
Household with one or more persons aged 60 or over,household-with-one-or-more-persons-aged-60-or-over,,
Household with no dependent children and no persons aged 60 or over,household-with-no-dependent-children-and-no-persons-aged-60-or-over,,
"Couple, no dependent children under 60",couple-no-dependent-children-under-60,,
Lone parent with dependent children,lone-parent-with-dependent-children,,
