Value,Period,Payment Method,Unit,Measure Type,Fuel Type
69.0,year/2020,1st-decile-lowest-income,rating,median-rating,gas
69.0,year/2020,2nd-decile,rating,median-rating,gas
68.0,year/2020,3rd-and-4th-deciles,rating,median-rating,gas
68.0,year/2020,5th-10th-deciles-highest-incomes,rating,median-rating,gas
68.0,year/2020,all,rating,median-rating,gas
68.0,year/2020,direct-debit,rating,median-rating,electricity
69.0,year/2020,standard-credit,rating,median-rating,electricity
70.0,year/2020,prepayment,rating,median-rating,electricity
61.0,year/2020,n/a-no-gas,rating,median-rating,electricity
68.0,year/2020,all,rating,median-rating,electricity
