Value,Period,Tenure,Unit,Measure Type,Household Composition,Age of Youngest Person,Age of Oldest Person,Ethnicity
67.0,year/2020,owner-occupied,rating,median-rating,all,all,all,all
67.0,year/2020,private-rented,rating,median-rating,all,all,all,all
72.0,year/2020,social-housing,rating,median-rating,all,all,all,all
68.0,year/2020,all,rating,median-rating,all,all,all,all
69.0,year/2020,all,rating,median-rating,couple-with-dependent-child-ren,all,all,all
66.0,year/2020,all,rating,median-rating,couple-no-dependent-child-ren-aged-60-or-over,all,all,all
68.0,year/2020,all,rating,median-rating,couple-no-dependent-child-ren-under-60,all,all,all
70.0,year/2020,all,rating,median-rating,lone-parent-with-dependent-child-ren,all,all,all
68.0,year/2020,all,rating,median-rating,one-person-aged-60-or-over,all,all,all
70.0,year/2020,all,rating,median-rating,one-person-under-60,all,all,all
68.0,year/2020,all,rating,median-rating,other-multi-person-households,all,all,all
69.0,year/2020,all,rating,median-rating,all,0-4,all,all
69.0,year/2020,all,rating,median-rating,all,5-10,all,all
68.0,year/2020,all,rating,median-rating,all,11-15,all,all
68.0,year/2020,all,rating,median-rating,all,16-24,all,all
69.0,year/2020,all,rating,median-rating,all,25-59,all,all
67.0,year/2020,all,rating,median-rating,all,60-74,all,all
67.0,year/2020,all,rating,median-rating,all,75-or-more,all,all
67.0,year/2020,all,rating,median-rating,all,all,16-24,all
70.0,year/2020,all,rating,median-rating,all,all,25-34,all
69.0,year/2020,all,rating,median-rating,all,all,35-49,all
68.0,year/2020,all,rating,median-rating,all,all,50-59,all
67.0,year/2020,all,rating,median-rating,all,all,60-74,all
67.0,year/2020,all,rating,median-rating,all,all,75-or-more,all
70.0,year/2020,all,rating,median-rating,all,all,all,ethnic-minority
68.0,year/2020,all,rating,median-rating,all,all,all,white
