Label,Notation,Parent Notation,Sort Priority
Applications,applications,,0
Accredited applications,accredited-applications,,1
All,all,,2
Accreditated applications,accreditated-applications,,3
Number of accredited installations,number-of-accredited-installations,,4
Number of applications by date of first submission,number-of-applications-by-date-of-first-submission,,5
Number of accredited applications by date of accreditation,number-of-accredited-applications-by-date-of-accreditation,,6
Applications by date of first submission,applications-by-date-of-first-submission,,7
Accreditations by date of accreditation,accreditations-by-date-of-accreditation,,8
Full applications,full-applications,,9
Accredited full applications,accredited-full-applications,,10
Preliminary applications,preliminary-applications,,11
Non tg extension applications,non-tg-extension-applications,,12
Number of tariff guarantee applications,number-of-tariff-guarantee-applications,,13
Number of accredited full applications,number-of-accredited-full-applications,,14
Number of granted tariff guarantee applications,number-of-granted-tariff-guarantee-applications,,15
Number of stage 3 tariff guarantee applications,number-of-stage-3-tariff-guarantee-applications,,16
Number of accredited tariff guarantee applications,number-of-accredited-tariff-guarantee-applications,,17
Number of full applications,number-of-full-applications,,18
Number of full accredited full applications,number-of-full-accredited-full-applications,,19
Number of tariff guarantee granted,number-of-tariff-guarantee-granted,,20
Number of full accreditations,number-of-full-accreditations,,21
Capacity of full applications,capacity-of-full-applications,,22
Capacity of preliminary applications,capacity-of-preliminary-applications,,23
Capacity of extension applications,capacity-of-extension-applications,,24
Capacity of accredited full applications,capacity-of-accredited-full-applications,,25
Capacity of tariff guarantee applications,capacity-of-tariff-guarantee-applications,,26
Installed capacity,installed-capacity,,27
Capacity of stage 3 tariff guarantee applications,capacity-of-stage-3-tariff-guarantee-applications,,28
Capacity of accredited installations,capacity-of-accredited-installations,,29
Total installed capacity,total-installed-capacity,,30
Total installed capacity of accredited full applications,total-installed-capacity-of-accredited-full-applications,,31
Total installed capacity of full accreditations,total-installed-capacity-of-full-accreditations,,32
