Period,Value,Measure Type,Unit
day/2016-04-01,885111.729,actual-eligible-demand,mwh
day/2016-04-02,786566.042,actual-eligible-demand,mwh
day/2016-04-03,756271.565,actual-eligible-demand,mwh
day/2016-04-04,864023.251,actual-eligible-demand,mwh
day/2016-04-05,861447.827,actual-eligible-demand,mwh
day/2016-04-06,879293.587,actual-eligible-demand,mwh
day/2016-04-07,893796.444,actual-eligible-demand,mwh
day/2016-04-08,860461.863,actual-eligible-demand,mwh
day/2016-04-09,783150.463,actual-eligible-demand,mwh
day/2016-04-10,764735.207,actual-eligible-demand,mwh
day/2016-04-11,875652.189,actual-eligible-demand,mwh
day/2016-04-12,876058.794,actual-eligible-demand,mwh
day/2016-04-13,856988.272,actual-eligible-demand,mwh
day/2016-04-14,857565.21,actual-eligible-demand,mwh
day/2016-04-15,871721.167,actual-eligible-demand,mwh
day/2016-04-16,792524.488,actual-eligible-demand,mwh
day/2016-04-17,763295.437,actual-eligible-demand,mwh
day/2016-04-18,877410.792,actual-eligible-demand,mwh
day/2016-04-19,845394.23,actual-eligible-demand,mwh
day/2016-04-20,836999.439,actual-eligible-demand,mwh
day/2016-04-21,839462.922,actual-eligible-demand,mwh
day/2016-04-22,852014.94,actual-eligible-demand,mwh
day/2016-04-23,767851.138,actual-eligible-demand,mwh
day/2016-04-24,758353.354,actual-eligible-demand,mwh
day/2016-04-25,875638.315,actual-eligible-demand,mwh
day/2016-04-26,892521.631,actual-eligible-demand,mwh
day/2016-04-27,889958.183,actual-eligible-demand,mwh
day/2016-04-28,897821.89,actual-eligible-demand,mwh
day/2016-04-29,879083.539,actual-eligible-demand,mwh
day/2016-04-30,772422.711,actual-eligible-demand,mwh
day/2016-05-01,746490.372,actual-eligible-demand,mwh
day/2016-05-02,764487.708,actual-eligible-demand,mwh
day/2016-05-03,830386.496,actual-eligible-demand,mwh
day/2016-05-04,818711.879,actual-eligible-demand,mwh
day/2016-05-05,803267.126,actual-eligible-demand,mwh
day/2016-05-06,784062.963,actual-eligible-demand,mwh
day/2016-05-07,703815.29,actual-eligible-demand,mwh
day/2016-05-08,671462.722,actual-eligible-demand,mwh
day/2016-05-09,778450.752,actual-eligible-demand,mwh
day/2016-05-10,808362.9,actual-eligible-demand,mwh
day/2016-05-11,807601.715,actual-eligible-demand,mwh
day/2016-05-12,784740.654,actual-eligible-demand,mwh
day/2016-05-13,776634.753,actual-eligible-demand,mwh
day/2016-05-14,692908.018,actual-eligible-demand,mwh
day/2016-05-15,677822.417,actual-eligible-demand,mwh
day/2016-05-16,775329.988,actual-eligible-demand,mwh
day/2016-05-17,786959.514,actual-eligible-demand,mwh
day/2016-05-18,805915.809,actual-eligible-demand,mwh
day/2016-05-19,803867.226,actual-eligible-demand,mwh
day/2016-05-20,778879.149,actual-eligible-demand,mwh
day/2016-05-21,713691.917,actual-eligible-demand,mwh
day/2016-05-22,678371.021,actual-eligible-demand,mwh
day/2016-05-23,770292.833,actual-eligible-demand,mwh
day/2016-05-24,775701.383,actual-eligible-demand,mwh
day/2016-05-25,811221.491,actual-eligible-demand,mwh
day/2016-05-26,799701.317,actual-eligible-demand,mwh
day/2016-05-27,768565.201,actual-eligible-demand,mwh
day/2016-05-28,674842.144,actual-eligible-demand,mwh
day/2016-05-29,642977.422,actual-eligible-demand,mwh
day/2016-05-30,679559.32,actual-eligible-demand,mwh
day/2016-05-31,781424.3,actual-eligible-demand,mwh
day/2016-06-01,800809.714,actual-eligible-demand,mwh
day/2016-06-02,783789.138,actual-eligible-demand,mwh
day/2016-06-03,768289.783,actual-eligible-demand,mwh
day/2016-06-04,689112.465,actual-eligible-demand,mwh
day/2016-06-05,652677.021,actual-eligible-demand,mwh
day/2016-06-06,753704.739,actual-eligible-demand,mwh
day/2016-06-07,773868.698,actual-eligible-demand,mwh
day/2016-06-08,778119.888,actual-eligible-demand,mwh
day/2016-06-09,769068.773,actual-eligible-demand,mwh
day/2016-06-10,769577.738,actual-eligible-demand,mwh
day/2016-06-11,692959.065,actual-eligible-demand,mwh
day/2016-06-12,679275.315,actual-eligible-demand,mwh
day/2016-06-13,782601.781,actual-eligible-demand,mwh
day/2016-06-14,787278.276,actual-eligible-demand,mwh
day/2016-06-15,787523.125,actual-eligible-demand,mwh
day/2016-06-16,779509.613,actual-eligible-demand,mwh
day/2016-06-17,766324.265,actual-eligible-demand,mwh
day/2016-06-18,682826.075,actual-eligible-demand,mwh
day/2016-06-19,670052.816,actual-eligible-demand,mwh
day/2016-06-20,777915.6,actual-eligible-demand,mwh
day/2016-06-21,768315.072,actual-eligible-demand,mwh
day/2016-06-22,780393.666,actual-eligible-demand,mwh
day/2016-06-23,782407.227,actual-eligible-demand,mwh
day/2016-06-24,754433.457,actual-eligible-demand,mwh
day/2016-06-25,674212.835,actual-eligible-demand,mwh
day/2016-06-26,664198.953,actual-eligible-demand,mwh
day/2016-06-27,752570.589,actual-eligible-demand,mwh
day/2016-06-28,770795.014,actual-eligible-demand,mwh
day/2016-06-29,772916.588,actual-eligible-demand,mwh
day/2016-06-30,768153.326,actual-eligible-demand,mwh
day/2016-07-01,763293.927,actual-eligible-demand,mwh
day/2016-07-02,680410.535,actual-eligible-demand,mwh
day/2016-07-03,657880.081,actual-eligible-demand,mwh
day/2016-07-04,766302.076,actual-eligible-demand,mwh
day/2016-07-05,768614.891,actual-eligible-demand,mwh
day/2016-07-06,766973.197,actual-eligible-demand,mwh
day/2016-07-07,777115.835,actual-eligible-demand,mwh
day/2016-07-08,764670.414,actual-eligible-demand,mwh
day/2016-07-09,696181.561,actual-eligible-demand,mwh
day/2016-07-10,677088.214,actual-eligible-demand,mwh
day/2016-07-11,772563.216,actual-eligible-demand,mwh
day/2016-07-12,776227.674,actual-eligible-demand,mwh
day/2016-07-13,769277.02,actual-eligible-demand,mwh
day/2016-07-14,762461.421,actual-eligible-demand,mwh
day/2016-07-15,766209.206,actual-eligible-demand,mwh
day/2016-07-16,689189.061,actual-eligible-demand,mwh
day/2016-07-17,663663.186,actual-eligible-demand,mwh
day/2016-07-18,769423.419,actual-eligible-demand,mwh
day/2016-07-19,792668.629,actual-eligible-demand,mwh
day/2016-07-20,802032.911,actual-eligible-demand,mwh
day/2016-07-21,777448.668,actual-eligible-demand,mwh
day/2016-07-22,763188.394,actual-eligible-demand,mwh
day/2016-07-23,678380.736,actual-eligible-demand,mwh
day/2016-07-24,663580.873,actual-eligible-demand,mwh
day/2016-07-25,747070.902,actual-eligible-demand,mwh
day/2016-07-26,757107.965,actual-eligible-demand,mwh
day/2016-07-27,760641.332,actual-eligible-demand,mwh
day/2016-07-28,758988.671,actual-eligible-demand,mwh
day/2016-07-29,747232.709,actual-eligible-demand,mwh
day/2016-07-30,661948.111,actual-eligible-demand,mwh
day/2016-07-31,640436.668,actual-eligible-demand,mwh
day/2016-08-01,742290.423,actual-eligible-demand,mwh
day/2016-08-02,767852.593,actual-eligible-demand,mwh
day/2016-08-03,758593.151,actual-eligible-demand,mwh
day/2016-08-04,751079.946,actual-eligible-demand,mwh
day/2016-08-05,734097.552,actual-eligible-demand,mwh
day/2016-08-06,666144.106,actual-eligible-demand,mwh
day/2016-08-07,658140.023,actual-eligible-demand,mwh
day/2016-08-08,744284.143,actual-eligible-demand,mwh
day/2016-08-09,748314.169,actual-eligible-demand,mwh
day/2016-08-10,753872.593,actual-eligible-demand,mwh
day/2016-08-11,769312.88,actual-eligible-demand,mwh
day/2016-08-12,751763.831,actual-eligible-demand,mwh
day/2016-08-13,675835.994,actual-eligible-demand,mwh
day/2016-08-14,654889.749,actual-eligible-demand,mwh
day/2016-08-15,744704.278,actual-eligible-demand,mwh
day/2016-08-16,755342.783,actual-eligible-demand,mwh
day/2016-08-17,760836.286,actual-eligible-demand,mwh
day/2016-08-18,768213.836,actual-eligible-demand,mwh
day/2016-08-19,769780.569,actual-eligible-demand,mwh
day/2016-08-20,685498.665,actual-eligible-demand,mwh
day/2016-08-21,664180.759,actual-eligible-demand,mwh
day/2016-08-22,763066.524,actual-eligible-demand,mwh
day/2016-08-23,776799.739,actual-eligible-demand,mwh
day/2016-08-24,787448.833,actual-eligible-demand,mwh
day/2016-08-25,800664.833,actual-eligible-demand,mwh
day/2016-08-26,756377.02,actual-eligible-demand,mwh
day/2016-08-27,684528.038,actual-eligible-demand,mwh
day/2016-08-28,659190.217,actual-eligible-demand,mwh
day/2016-08-29,670220.396,actual-eligible-demand,mwh
day/2016-08-30,758978.296,actual-eligible-demand,mwh
day/2016-08-31,777037.98,actual-eligible-demand,mwh
day/2016-09-01,771219.787,actual-eligible-demand,mwh
day/2016-09-02,771274.447,actual-eligible-demand,mwh
day/2016-09-03,702842.453,actual-eligible-demand,mwh
day/2016-09-04,679523.14,actual-eligible-demand,mwh
day/2016-09-05,788186.66,actual-eligible-demand,mwh
day/2016-09-06,807288.478,actual-eligible-demand,mwh
day/2016-09-07,809199.496,actual-eligible-demand,mwh
day/2016-09-08,794582.174,actual-eligible-demand,mwh
day/2016-09-09,788459.755,actual-eligible-demand,mwh
day/2016-09-10,707145.276,actual-eligible-demand,mwh
day/2016-09-11,669063.611,actual-eligible-demand,mwh
day/2016-09-12,788197.285,actual-eligible-demand,mwh
day/2016-09-13,811142.469,actual-eligible-demand,mwh
day/2016-09-14,808964.185,actual-eligible-demand,mwh
day/2016-09-15,806387.312,actual-eligible-demand,mwh
day/2016-09-16,784317.277,actual-eligible-demand,mwh
day/2016-09-17,694742.423,actual-eligible-demand,mwh
day/2016-09-18,677578.871,actual-eligible-demand,mwh
day/2016-09-19,789790.592,actual-eligible-demand,mwh
day/2016-09-20,797820.588,actual-eligible-demand,mwh
day/2016-09-21,800137.038,actual-eligible-demand,mwh
day/2016-09-22,792023.423,actual-eligible-demand,mwh
day/2016-09-23,771494.782,actual-eligible-demand,mwh
day/2016-09-24,704912.33,actual-eligible-demand,mwh
day/2016-09-25,682935.179,actual-eligible-demand,mwh
day/2016-09-26,798623.197,actual-eligible-demand,mwh
day/2016-09-27,815039.44,actual-eligible-demand,mwh
day/2016-09-28,810024.55,actual-eligible-demand,mwh
day/2016-09-29,805597.14,actual-eligible-demand,mwh
day/2016-09-30,783790.968,actual-eligible-demand,mwh
day/2016-10-01,729377.129,actual-eligible-demand,mwh
day/2016-10-02,708016.681,actual-eligible-demand,mwh
day/2016-10-03,808773.565,actual-eligible-demand,mwh
day/2016-10-04,824172.151,actual-eligible-demand,mwh
day/2016-10-05,821117.158,actual-eligible-demand,mwh
day/2016-10-06,833863.727,actual-eligible-demand,mwh
day/2016-10-07,833923.347,actual-eligible-demand,mwh
day/2016-10-08,744149.532,actual-eligible-demand,mwh
day/2016-10-09,725035.07,actual-eligible-demand,mwh
day/2016-10-10,837484.696,actual-eligible-demand,mwh
day/2016-10-11,858958.827,actual-eligible-demand,mwh
day/2016-10-12,856566.469,actual-eligible-demand,mwh
day/2016-10-13,862665.617,actual-eligible-demand,mwh
day/2016-10-14,846916.537,actual-eligible-demand,mwh
day/2016-10-15,765340.175,actual-eligible-demand,mwh
day/2016-10-16,752440.363,actual-eligible-demand,mwh
day/2016-10-17,842416.445,actual-eligible-demand,mwh
day/2016-10-18,866053.535,actual-eligible-demand,mwh
day/2016-10-19,870501.218,actual-eligible-demand,mwh
day/2016-10-20,872349.19,actual-eligible-demand,mwh
day/2016-10-21,858827.19,actual-eligible-demand,mwh
day/2016-10-22,779683.511,actual-eligible-demand,mwh
day/2016-10-23,765577.226,actual-eligible-demand,mwh
day/2016-10-24,876727.98,actual-eligible-demand,mwh
day/2016-10-25,878017.109,actual-eligible-demand,mwh
day/2016-10-26,873030.725,actual-eligible-demand,mwh
day/2016-10-27,874972.838,actual-eligible-demand,mwh
day/2016-10-28,852873.061,actual-eligible-demand,mwh
day/2016-10-29,776294.332,actual-eligible-demand,mwh
day/2016-10-30,790123.142,actual-eligible-demand,mwh
day/2016-10-31,855850.4,actual-eligible-demand,mwh
day/2016-11-01,895244.4,actual-eligible-demand,mwh
day/2016-11-02,908677.304,actual-eligible-demand,mwh
day/2016-11-03,930391.3,actual-eligible-demand,mwh
day/2016-11-04,908846.087,actual-eligible-demand,mwh
day/2016-11-05,839625.869,actual-eligible-demand,mwh
day/2016-11-06,847563.601,actual-eligible-demand,mwh
day/2016-11-07,951779.105,actual-eligible-demand,mwh
day/2016-11-08,987006.383,actual-eligible-demand,mwh
day/2016-11-09,988907.758,actual-eligible-demand,mwh
day/2016-11-10,970150.111,actual-eligible-demand,mwh
day/2016-11-11,950777.226,actual-eligible-demand,mwh
day/2016-11-12,870336.569,actual-eligible-demand,mwh
day/2016-11-13,836215.715,actual-eligible-demand,mwh
day/2016-11-14,939976.501,actual-eligible-demand,mwh
day/2016-11-15,924360.451,actual-eligible-demand,mwh
day/2016-11-16,925581.982,actual-eligible-demand,mwh
day/2016-11-17,951401.648,actual-eligible-demand,mwh
day/2016-11-18,960715.691,actual-eligible-demand,mwh
day/2016-11-19,884543.667,actual-eligible-demand,mwh
day/2016-11-20,874466.073,actual-eligible-demand,mwh
day/2016-11-21,993581.512,actual-eligible-demand,mwh
day/2016-11-22,982557.109,actual-eligible-demand,mwh
day/2016-11-23,982172.916,actual-eligible-demand,mwh
day/2016-11-24,982175.373,actual-eligible-demand,mwh
day/2016-11-25,964304.611,actual-eligible-demand,mwh
day/2016-11-26,889514.393,actual-eligible-demand,mwh
day/2016-11-27,870222.682,actual-eligible-demand,mwh
day/2016-11-28,975354.546,actual-eligible-demand,mwh
day/2016-11-29,1016092.882,actual-eligible-demand,mwh
day/2016-11-30,1033208.497,actual-eligible-demand,mwh
day/2016-12-01,1019627.713,actual-eligible-demand,mwh
day/2016-12-02,993472.231,actual-eligible-demand,mwh
day/2016-12-03,898409.229,actual-eligible-demand,mwh
day/2016-12-04,891387.114,actual-eligible-demand,mwh
day/2016-12-05,1023526.331,actual-eligible-demand,mwh
day/2016-12-06,1022901.46,actual-eligible-demand,mwh
day/2016-12-07,975070.218,actual-eligible-demand,mwh
day/2016-12-08,962316.129,actual-eligible-demand,mwh
day/2016-12-09,937612.991,actual-eligible-demand,mwh
day/2016-12-10,859247.601,actual-eligible-demand,mwh
day/2016-12-11,850069.797,actual-eligible-demand,mwh
day/2016-12-12,979271.573,actual-eligible-demand,mwh
day/2016-12-13,971680.47,actual-eligible-demand,mwh
day/2016-12-14,947346.161,actual-eligible-demand,mwh
day/2016-12-15,963713.55,actual-eligible-demand,mwh
