"
","Large legacy suppliers (direct debit)","Large legacy suppliers (standard credit)","Large legacy suppliers (prepayment)","Market (direct debit)","Market (standard credit)","Market (prepayment)"
"2012-01-28 00:00:00",915.27,976.7,1021.54,906.56,971.04,969.61
"2012-02-28 00:00:00",886.18,976.7,1021.54,878.1,971.04,969.61
"2012-03-28 00:00:00",886.18,976.7,1021.54,878.1,971.04,969.61
"2012-04-28 00:00:00",895.69,953.4,1021.54,878.1,953.4,969.24
"2012-05-28 00:00:00",895.69,953.4,1021.54,878.1,890.12,969.24
"2012-06-28 00:00:00",895.69,953.4,1021.54,895.69,953.4,1017.42
"2012-07-28 00:00:00",895.69,953.4,1021.54,875.93,953.4,1017.42
"2012-08-28 00:00:00",899.1,957.03,1021.54,875.93,957.03,1017.42
"2012-09-28 00:00:00",901.47,1020.71,1021.54,875.93,988.14,1017.42
"2012-10-28 00:00:00",906.17,1020.71,1069.39,893.85,988.14,1019.3
"2012-11-28 00:00:00",958.21,1020.71,1069.39,909.59,979.35,1045.64
"2012-12-28 00:00:00",990.7,1071.38,1133.19,909.59,979.35,1045.64
"2013-01-28 00:00:00",957.18,1037.2,1133.19,909.59,979.35,1045.64
"2013-02-28 00:00:00",957.18,1037.2,1133.19,909.59,1037.2,1045.64
"2013-03-28 00:00:00",966.54,1046.57,1133.19,909.59,1046.57,1045.64
"2013-04-28 00:00:00",966.54,1046.57,1133.19,909.59,1046.57,1045.64
"2013-05-28 00:00:00",966.54,1046.57,1133.19,962.43,996.9,1045.64
"2013-06-28 00:00:00",966.54,1046.57,1133.19,769.95,996.9,1045.64
"2013-07-28 00:00:00",984.68,1075.51,1133.19,769.95,996.9,1045.64
"2013-08-28 00:00:00",971.77,1051.79,1133.19,769.95,1051.79,1045.64
"2013-09-28 00:00:00",971.77,1051.79,1133.19,769.95,1051.79,1045.64
"2013-10-28 00:00:00",1011.8,1079.91,1133.19,769.95,1070.99,1093.35
"2013-11-28 00:00:00",993.4,1058.15,1150.97,769.95,1058.15,1093.35
"2013-12-28 00:00:00",1033.47,1101.65,1178.61,769.95,1101.65,1093.35
"2014-01-28 00:00:00",1033.47,1101.65,1178.61,975.21,1101.65,1172.77
"2014-02-28 00:00:00",1033.97,1108.1,1178.61,966.34,1108.1,1172.77
"2014-03-28 00:00:00",1024.79,1117.27,1178.61,964.31,1117.27,1171.39
"2014-04-28 00:00:00",1000.38,1069.95,1178.61,946.42,1069.95,1171.39
"2014-05-28 00:00:00",1000.38,1069.95,1178.61,944.55,1069.95,1171.39
"2014-06-28 00:00:00",1000.38,1069.95,1170.86,944.55,1069.95,1162.4
"2014-07-28 00:00:00",1000.38,1069.95,1170.86,944.95,1029.05,1162.4
"2014-08-28 00:00:00",1000.38,1069.95,1170.86,943.43,1038.88,1154.43
"2014-09-28 00:00:00",960.9,1030.95,1170.86,942.27,1030.95,1154.43
"2014-10-28 00:00:00",953.4,1046.45,1170.86,931.02,1024.45,1154.43
"2014-11-28 00:00:00",921.88,1003.79,1170.86,914.51,1003.79,1154.43
"2014-12-28 00:00:00",916.21,1003.79,1170.86,906.14,1003.79,1151.22
"2015-01-28 00:00:00",875.4,945.46,1148.99,871.26,945.46,1148.99
"2015-02-28 00:00:00",839.28,955.07,1148.9,839.28,950.35,1148.9
"2015-03-28 00:00:00",836.99,907.24,1148.99,836.99,907.24,1116.99
"2015-04-28 00:00:00",834.57,977.56,1141.64,834.57,950.63,1116.99
"2015-05-28 00:00:00",835.19,905.44,1141.64,830.56,905.44,1116.99
"2015-06-28 00:00:00",835.71,981.78,1122.97,830.56,940.9,1116.99
"2015-07-28 00:00:00",863.85,981.78,1122.97,830.56,939.85,1116.99
"2015-08-28 00:00:00",876.03,977.32,1128.54,830.56,940.27,1116.99
"2015-09-28 00:00:00",876.03,963.77,1128.54,830.56,907.26,1100.94
"2015-10-28 00:00:00",803,873.25,1128.54,793.93,844.04,1100.94
"2015-11-28 00:00:00",805.4,950.75,1128.54,787.05,844.04,1055.61
"2015-12-28 00:00:00",850.52,950.75,1102.2,787.05,844.04,1055.61
"2016-01-28 00:00:00",769.69,839.94,1102.2,765,839.94,1055.61
"2016-02-28 00:00:00",738.38,808.63,1092.26,738.38,808.63,1054.2
"2016-03-28 00:00:00",727.7,797.76,1070.37,727.7,797.76,1051.22
"2016-04-28 00:00:00",723.91,793.48,1070.37,723.91,793.48,1030.27
"2016-05-28 00:00:00",723.23,877.12,1037.31,723.23,877.12,1017.61
"2016-06-28 00:00:00",723.23,847.45,1037.31,723.23,847.45,985.97
"2016-07-28 00:00:00",779.39,904.97,1037.31,758.31,871.54,985.97
"2016-08-28 00:00:00",801.37,941.42,1043.54,769.65,871.54,985.97
"2016-09-28 00:00:00",754.64,839.15,1043.54,744.3,839.15,985.97
"2016-10-28 00:00:00",803.54,967.13,1043.54,741.92,829.42,985.97
"2016-11-28 00:00:00",897.18,1002.63,1035.64,790.02,907.75,985.97
