Date,"Average standard variable tariff (Large legacy suppliers)","Average standard variable tariff (Other suppliers)","Cheapest tariff (Large legacy suppliers)","Cheapest tariff (All suppliers)","Cheapest tariff (Basket)","Default tariff cap level"
28/01/2012," 1,020.16 "," 1,024.33 "," 915.27 "," 906.56 "," 947.56 ",
28/02/2012," 1,000.76 "," 1,017.41 "," 886.18 "," 878.10 "," 930.29 ",
28/03/2012," 997.25 "," 1,017.41 "," 886.18 "," 878.10 "," 936.54 ",
28/04/2012," 997.25 "," 1,017.35 "," 895.69 "," 878.10 "," 937.68 ",
28/05/2012," 997.25 "," 1,017.35 "," 895.69 "," 878.10 "," 929.78 ",
28/06/2012," 997.25 "," 1,032.16 "," 895.69 "," 895.69 "," 945.53 ",
28/07/2012," 997.25 "," 1,032.16 "," 895.69 "," 875.93 "," 928.99 ",
28/08/2012," 997.25 "," 1,030.02 "," 899.10 "," 875.93 "," 924.85 ",
28/09/2012," 997.25 "," 1,017.84 "," 901.47 "," 875.93 "," 931.04 ",
28/10/2012," 1,009.00 "," 1,020.51 "," 906.17 "," 893.85 "," 956.00 ",
28/11/2012," 1,030.78 "," 1,075.12 "," 958.21 "," 909.59 "," 997.71 ",
28/12/2012," 1,061.80 "," 1,087.65 "," 990.70 "," 909.59 "," 994.59 ",
28/01/2013," 1,074.42 "," 1,087.65 "," 957.18 "," 909.59 "," 990.81 ",
28/02/2013," 1,074.42 "," 1,119.05 "," 957.18 "," 909.59 "," 994.56 ",
28/03/2013," 1,074.42 "," 1,119.05 "," 966.54 "," 909.59 "," 995.50 ",
28/04/2013," 1,074.42 "," 1,119.05 "," 966.54 "," 909.59 "," 988.37 ",
28/05/2013," 1,074.43 "," 1,119.05 "," 966.54 "," 962.43 "," 997.77 ",
28/06/2013," 1,074.43 "," 1,119.05 "," 966.54 "," 769.95 "," 967.26 ",
28/07/2013," 1,074.45 "," 1,119.05 "," 984.68 "," 769.95 "," 974.82 ",
28/08/2013," 1,074.45 "," 1,119.05 "," 971.77 "," 769.95 "," 988.47 ",
28/09/2013," 1,074.45 "," 1,119.05 "," 971.77 "," 769.95 "," 979.55 ",
28/10/2013," 1,074.45 "," 1,127.02 "," 1,011.80 "," 769.95 "," 995.67 ",
28/11/2013," 1,105.94 "," 1,123.75 "," 993.40 "," 769.95 "," 992.26 ",
28/12/2013," 1,138.95 "," 1,123.75 "," 1,033.47 "," 769.95 "," 997.00 ",
28/01/2014," 1,145.84 "," 1,125.14 "," 1,033.47 "," 975.21 "," 1,013.73 ",
28/02/2014," 1,134.09 "," 1,128.76 "," 1,033.97 "," 966.34 "," 1,014.19 ",
28/03/2014," 1,128.10 "," 1,126.61 "," 1,024.79 "," 964.31 "," 1,016.25 ",
28/04/2014," 1,128.10 "," 1,129.62 "," 1,000.38 "," 946.42 "," 995.26 ",
28/05/2014," 1,128.10 "," 1,129.62 "," 1,000.38 "," 944.55 "," 995.13 ",
28/06/2014," 1,128.10 "," 1,129.62 "," 1,000.38 "," 944.55 "," 992.88 ",
28/07/2014," 1,128.10 "," 1,134.19 "," 1,000.38 "," 944.95 "," 976.39 ",
28/08/2014," 1,128.10 "," 1,127.79 "," 1,000.38 "," 943.43 "," 978.98 ",
28/09/2014," 1,128.10 "," 1,158.39 "," 960.90 "," 942.27 "," 972.34 ",
28/10/2014," 1,128.10 "," 1,131.80 "," 953.40 "," 931.02 "," 960.15 ",
28/11/2014," 1,128.10 "," 1,131.80 "," 921.88 "," 914.51 "," 947.94 ",
28/12/2014," 1,128.10 "," 1,130.51 "," 916.21 "," 906.14 "," 929.69 ",
28/01/2015," 1,124.33 "," 1,130.51 "," 875.40 "," 871.26 "," 895.39 ",
28/02/2015," 1,106.65 "," 1,110.84 "," 839.28 "," 839.28 "," 881.39 ",
28/03/2015," 1,106.65 "," 1,088.31 "," 836.99 "," 836.99 "," 892.38 ",
