Label,Notation,Parent Notation,Sort Priority
Bristol energy,bristol-energy,,1
British gas,british-gas,,2
Bulb,bulb,,3
Co operative energy,co-operative-energy,,4
Edf energy,edf-energy,,5
E.on,e-on,,6
Green Star Energy,green-star-energy,,7
Npower Group,npower-group,,8
Ovo energy,ovo-energy,,9
Robin Hood Energy,robin-hood-energy,,10
Scottish power,scottish-power,,11
Shell energy,shell-energy,,12
SSE Energy,sse-energy,,13
Utilita energy,utilita-energy,,14
Utility Warehouse,utility-warehouse,,15
Avro Energy,avro-energy,,16
Bulb Energy,bulb-energy,,17
E Energy,e-energy,,18
E.on Energy,e-on-energy,,19
Utilita,utilita,,20
Octopus,octopus,,21
Green Network Energy,green-network-energy,,22
