Label,Notation,Parent Notation,Sort Priority
Bioethanol,bioethanol,,
Biodiesel,biodiesel,,
Total Biofuels,total-biofuels,,
All,all,,
Coal,coal,,
Coal including coke oven coke,coal-including-coke-oven-coke,,
Combined Cycle Gas Turbine Stations,combined-cycle-gas-turbine-stations,,
Conventional Thermal and other Stations,conventional-thermal-and-other-stations,,
Gas,gas,,
Gas including Colliery Methane,gas-including-colliery-methane,,
Gas including Refinery Gas,gas-including-refinery-gas,,
Hydro Natural Flow,hydro-natural-flow,,
Net Imports,net-imports,,
Nuclear,nuclear,,
Oil including Orimulsion,oil-including-orimulsion,,
Oil including Orimulsion and Refinery Gas,oil-including-orimulsion-and-refinery-gas,,
Oil including Refinery Gas,oil-including-refinery-gas,,
Other Fuels,other-fuels,,
Other renewables,other-renewables,,
Solar,solar,,
Wind,wind,,
Wind Wave and Solar Photovoltaics,wind-wave-and-solar-photovoltaics,,
